thetaL, thetaR, a, b
2.000000, 1.000000, 10.000000, 15.000000
2.000000, 1.000000, 10.000000, 15.000000
2.001390, 1.058771, 11.000000, 15.000000
2.001390, 1.058771, 11.000000, 15.000000
2.001390, 1.058771, 11.000000, 15.000000
2.001390, 1.058771, 11.000000, 15.000000
2.001390, 1.058771, 11.000000, 15.000000
2.001390, 1.058771, 11.000000, 15.000000
2.001390, 1.058771, 11.000000, 15.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.771988, 1.134027, 11.000000, 12.000000
1.824286, 1.283248, 11.000000, 14.000000
1.824286, 1.283248, 11.000000, 14.000000
2.028423, 1.705146, 10.000000, 14.000000
2.028423, 1.705146, 10.000000, 14.000000
2.228774, 2.029112, 11.000000, 15.000000
2.228774, 2.029112, 11.000000, 15.000000
2.228774, 2.029112, 11.000000, 15.000000
2.228774, 2.029112, 11.000000, 15.000000
2.228774, 2.029112, 11.000000, 15.000000
2.228774, 2.029112, 11.000000, 15.000000
2.758618, 2.405646, 12.000000, 15.000000
2.758618, 2.405646, 12.000000, 15.000000
2.771707, 2.071701, 11.000000, 12.000000
2.771707, 2.071701, 11.000000, 12.000000
2.897177, 2.347499, 10.000000, 11.000000
2.897177, 2.347499, 10.000000, 11.000000
2.897177, 2.347499, 10.000000, 11.000000
2.897177, 2.347499, 10.000000, 11.000000
3.170923, 2.682159, 11.000000, 12.000000
3.170923, 2.682159, 11.000000, 12.000000
3.170923, 2.682159, 11.000000, 12.000000
2.915337, 3.146158, 13.000000, 14.000000
2.915337, 3.146158, 13.000000, 14.000000
3.100022, 3.092660, 12.000000, 13.000000
3.100022, 3.092660, 12.000000, 13.000000
3.100022, 3.092660, 12.000000, 13.000000
2.929930, 3.511419, 12.000000, 14.000000
2.929930, 3.511419, 12.000000, 14.000000
3.072064, 3.663095, 12.000000, 14.000000
3.303484, 3.947579, 11.000000, 13.000000
3.303484, 3.947579, 11.000000, 13.000000
3.394949, 4.097595, 11.000000, 12.000000
3.394949, 4.097595, 11.000000, 12.000000
